,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,2026-03-01,2026-04-01,2026-05-01,2026-06-01,2026-07-01,2026-08-01,2026-09-01,2026-10-01,2026-11-01,2026-12-01,2027-01-01,2027-02-01,2027-03-01,2027-04-01,2027-05-01,2027-06-01,2027-07-01,2027-08-01,2027-09-01,2027-10-01,2027-11-01,2027-12-01,2028-01-01,2028-02-01,2028-03-01,2028-04-01,2028-05-01,2028-06-01,2028-07-01,2028-08-01,2028-09-01,2028-10-01,2028-11-01,2028-12-01,2029-01-01,2029-02-01,2029-03-01,2029-04-01,2029-05-01,2029-06-01,2029-07-01,2029-08-01,2029-09-01,2029-10-01,2029-11-01,2029-12-01,2030-01-01,2030-02-01,2030-03-01,2030-04-01,2030-05-01,2030-06-01,2030-07-01,2030-08-01,2030-09-01,2030-10-01,2030-11-01,2030-12-01,2031-01-01,2031-02-01,2031-03-01,2031-04-01,2031-05-01,2031-06-01,2031-07-01,2031-08-01,2031-09-01,2031-10-01,2031-11-01,2031-12-01,2032-01-01,2032-02-01,2032-03-01,2032-04-01,2032-05-01,2032-06-01
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,8.235224342645518,8.935226114610971,8.355675672796547,7.0665771512931075,6.825971719124895,6.720230093326228,6.742760254421244,6.765146985355332,6.957321139201919,7.574330645627728,7.888251172858911,8.024981780246742,7.442211785880058,7.4121987420759705,7.362101434372749,6.927761198422445,6.515206122643402,6.473755895450392,6.452845691312678,6.54279806335088,6.615577380583258,6.873904421262212,7.217027653487939,7.353137314520261,7.478514882591555,7.3916658205298615,7.351270835423887,6.573629903705636,6.129850246697417,6.141584931094258,6.115836857073108,6.108774495652192,6.17460827927599,6.488893511363649,6.857439059122167,6.983994276885002,7.065475896305996,7.072479155884627,6.972105923222624,6.48522097144498,6.15486556285639,6.165968030390905,6.127767747565889,6.1196158476149,6.186123168439,6.430331836158822,6.7111232821217754,6.8395469206297745,6.941960728870768,6.948431471513315,6.8453065737206,6.444525064593609,6.12673203391194,6.149262072824633,6.105413054134179,6.09124387379949,6.158362776641355,6.407405719928897,6.692814506343074,6.8258500082573095,6.921415326800466,6.920255117111995,6.80816209305929,6.401282240454051,6.077434252234273,6.09143236046696,6.049092013792348,6.036192349874384,6.103147230915382,6.3519143972851415,6.637501980879861,6.77287187187861,6.867268158150071,6.866994282067056,6.7582019179865505,6.356405434016415,6.037349785951355,6.054269080009515,6.015519537699454,6.0063296309617,6.086582865114981,6.34755226652352,6.646746360675351,6.795956777758807,6.902275136877353,6.912536484596996,6.8125083589017885,6.41470513968153,6.099145710272469,6.122835032825432,6.088759199868131,6.084759602816753,6.162540189059797,6.42418595228385,6.724292376950957,6.872513042128024,6.976101424863531,6.9826207269954494,6.877842676170417,6.476108674092196,6.157458746665868,6.18133766648019,6.146926337683473,6.14289889179081,6.221446659487601,6.485625712515431,6.788636430629271,6.938303272147671,7.042897501871414,7.049476265710587,6.943677166566454,6.538067724673174,6.216329780431066,6.240388391502821,6.2055925324033385,6.201464106387173,6.280694242943794,6.547317199803584,6.853134018388569,7.004145929113603,7.109656226429544,7.1163194106589795,7.009542325046239,6.600025807523039,6.27518561692664,6.299421869096256,6.264250340659623,6.260039059917417,6.339977257924256,6.609078357235681,6.917743296535485,7.0701451644049715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,8.919674832200489,8.858557861537987,8.289418015888756,7.030641072483911,6.790710823675803,6.685158278237713,6.707624084835298,6.730149193189706,6.922162182833648,7.559546888795912,7.873063090435077,8.009743367832346,7.428513299444704,7.398644134540472,7.348657927220672,6.94804612442881,6.536415602149096,6.494988396842993,6.474027420515863,6.563643982616463,6.63612313389314,6.884461288736591,7.226599861281797,7.362269778651501,7.487244036627429,7.4004652577802,7.3600707684481055,6.571331099979384,6.128685950271804,6.140392146112622,6.11474370369298,6.107758463296524,6.173499627353654,6.48706404985087,6.854772747755416,6.981141461535709,7.063439142375709,7.070888007566703,6.970873791945271,6.479499790899342,6.149990282276719,6.161114212266864,6.123030068612517,6.114901919496483,6.181234268654068,6.430627206906696,6.710689606180485,6.838710615850171,6.940746880410087,6.947050759931534,6.844010723927405,6.438607909659109,6.121398647895666,6.142636974726519,6.103972522059698,6.094900457926573,6.161804155318134,6.414055527453463,6.696670028054353,6.827049924729304,6.922365328590079,6.921163342942244,6.809283590917365,6.39675617947483,6.073644143273604,6.0866079485075995,6.049636254251826,6.042030593085031,6.109031132099572,6.360200085901442,6.642136852642695,6.773869187756327,6.868121824404933,6.867762541424553,6.759101824502574,6.351593149232536,6.033146798715189,6.048870958494167,6.015283948701551,6.011167994961397,6.091499692346737,6.354869754202531,6.6504171517586155,6.796007997963519,6.902230682488478,6.912658188166071,6.813005114932035,6.409707821169991,6.094998299824354,6.1177215514190255,6.0891076843759935,6.0905016618791805,6.168386938267097,6.432514566561709,6.728989174730772,6.873585125642462,6.977104563323781,6.983801415848986,6.879391332397613,6.472049519268159,6.154207970831039,6.177112087960496,6.148206189529255,6.149618682608912,6.228278020104578,6.494996071140626,6.794378117495057,6.940401065734847,7.044935854461454,7.051690929670287,6.9462449819902465,6.534912329199124,6.213942650428445,6.237019401299367,6.207776651345447,6.209139799159256,6.288493683846538,6.557718261400045,6.8599151046895015,7.007269415872103,7.112734393363307,7.119577317370462,7.013142009783135,6.5977873639658595,6.2736750975194715,6.296922232074368,6.26735059357343,6.26868121288134,6.348753794846541,6.620517503515874,6.925569109510565,7.074297194389401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,8.212806544068547,8.35805894205925,8.150166742719207,7.0220598785389825,6.870702767251972,6.8092578105462875,6.784796168202327,6.8167199558548255,6.943240867740667,7.642827142229843,7.912656861807645,8.054148127510638,7.478166657049056,7.448269654832708,7.39825935503745,7.016062336528285,6.602948682941865,6.561764043792483,6.5411820337387505,6.631742827143268,6.705111997761908,6.958622016944232,7.303047578524739,7.44000733376795,7.559257516210631,7.4722768140319795,7.431894699078484,6.61074682950678,6.165954532112301,6.177862024040234,6.216320753504788,6.209595051843974,6.275996377406243,6.450395844219123,6.820186916435531,6.947409199886586,7.022212043966926,7.030393633154706,6.930028426804117,6.458801455370788,6.127625996194176,6.139155498461886,6.1235067256772355,6.115823744424794,6.183133950178829,6.462588161142904,6.745312512329457,6.87514761704122,6.978989169308087,6.98650625647199,6.883972539093545,6.418957809676067,6.099920935195816,6.120366013212934,6.108127621924855,6.10453734617348,6.177496925650463,6.458721575084367,6.7403315654343166,6.869339029185869,6.966464483956151,6.9663345819762235,6.854475323694948,6.384028905292031,6.059239233115442,6.0718317613809,6.06027529957113,6.057314048612451,6.129622154732697,6.408992305075413,6.689446943766067,6.819323598245628,6.914999354836077,6.915031303194907,6.805821544389124,6.3402934719401545,6.019854006085033,6.03504111780368,6.026636923171159,6.027125811938598,6.1130034208689406,6.404881027425162,6.699363158745921,6.843469013173073,6.951449470594599,6.962700915688595,6.862818740922552,6.401100633140913,6.084433908110396,6.106797980739257,6.103823215602092,6.110047796018798,6.193532936982161,6.486604636453283,6.782071714919926,6.925157264867113,7.03042727775439,7.037894111509832,6.933146048082013,6.466561205801,6.146573790777975,6.169122000827721,6.166103776006697,6.17240245172221,6.256766316472431,6.552867038316201,6.851391894344359,6.995972757444955,7.102336852754347,7.109877882244062,7.004039005433613,6.5326499025468365,6.209348081948623,6.2320718534284145,6.228959489123098,6.235251081990921,6.320397956744078,6.619427333827912,6.920896821068175,7.066855891709357,7.174209465969,7.181845228182763,7.074957179495644,6.598726977540771,6.2720940988024605,6.294990204942299,6.2917930077301785,6.298097631010469,6.3840563046054,6.68605291210923,6.990514324876816,7.137902592520929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,8.132748507861141,8.241989834849807,8.043410826534918,6.955668365648231,6.804627806317684,6.743404442627281,6.718998477191468,6.750626998075874,6.876474708069265,7.589671255508715,7.858607649049872,7.999746838874266,7.425832683328132,7.396085412248919,7.346234651891549,6.97437968553736,6.562582512059039,6.52145254186045,6.500848285780468,6.591014418468297,6.664061121512026,6.92591043683644,7.269182795997843,7.405742253872238,7.524710635297854,7.438063956164997,7.397910146914916,6.57961332173837,6.136440546389318,6.148492697937817,6.18703392514872,6.180554770084794,6.246978266805775,6.421073559633313,6.789974125616138,6.917047635346919,6.992487709876661,7.001321946798623,6.901345241068399,6.431464044053779,6.101180348628848,6.112595108979449,6.09683597351581,6.0889421323316055,6.1557515880926355,6.433992548686905,6.715362890781542,6.844166486942294,6.946912962967587,6.953572480652844,6.850482990788998,6.378437610341338,6.0592413541932695,6.0789229471764585,6.065042401727959,6.059786126405761,6.130677821524293,6.41077291174099,6.6902502505877965,6.819308587563472,6.9168581072122075,6.917251384127608,6.806592178207165,6.331685224657572,6.008928657110419,6.022389400835223,6.01088311061248,6.007953284332214,6.079819042374683,6.359615469145154,6.6395419339609,6.769862085196152,6.866203328097734,6.867151324410568,6.759392279095554,6.289493098789216,5.971032500223302,5.987017096641672,5.978521452749346,5.978845834256092,6.064013927596369,6.356050448345723,6.649719329776594,6.793987966701504,6.902395985126672,6.914412758455464,6.8158755274508165,6.349679599503085,6.034972596873368,6.058120300774101,6.055058129204886,6.061133620433922,6.143970488506217,6.437278971635984,6.732002452442889,6.875325808294512,6.981096349759443,6.9893867950565625,6.886031381326353,6.414913828926913,6.0968951656236605,6.120233562106571,6.117119199965748,6.123255820735907,6.206954184992211,6.503290123791445,6.801058476233629,6.945869156857287,7.052729375162352,7.061093437135832,6.956652004085167,6.480666030003251,6.159342394740624,6.18286566450214,6.179658096350067,6.185789351521329,6.270270468817764,6.5695512268259515,6.8702708772502,7.016471620014826,7.124334284152372,7.132804881446461,7.0273273574421,6.546439620002385,6.22179525980915,6.245500453152012,6.2422070328606,6.248349309575795,6.333637155926648,6.635895839466536,6.939607169848304,7.08724078851051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,8.122027079330612,8.537059594094309,8.05753995465226,6.965739458827193,6.815145187978492,6.754469167451132,6.730462580565201,6.761963023653239,6.887092673191544,7.605682790946132,7.8735246043059615,8.014333512411959,7.4435236593024365,7.413993235377572,7.3642672410700385,6.975842081998539,6.565711681832352,6.524329944532388,6.503333844658088,6.592508240858954,6.664677577894337,6.9246655364611005,7.265689939597311,7.401266299655925,7.519036746178551,7.431031401056908,7.389390323092271,6.574777785517251,6.133342982597209,6.144392095623299,6.1819157017336295,6.174883640702345,6.2404169730627945,6.413013026407925,6.779174844753196,6.905400223507705,6.991959711472717,7.005247097284643,6.905793985778083,6.4190501586184325,6.090241190396505,6.101413504519216,6.085527132225988,6.0774666633664385,6.143758145013968,6.41078481095963,6.69062465316556,6.818772907259653,6.921125471609724,6.928010427209904,6.825816770989094,6.3672050401669145,6.048649521514621,6.067392670484235,6.05488182724541,6.04991539720123,6.118607621485497,6.387885649884921,6.667272707688615,6.795809336638819,6.892902326700995,6.893924913296015,6.783202031740564,6.321626957508095,5.9993507942665225,6.012720342643901,6.0001432303527915,5.996058786584445,6.065305457759989,6.332721174049558,6.609669317269468,6.738979421836585,6.835729367516304,6.838006307232981,6.729799972764689,6.273226208885101,5.955329771493131,5.9710497036331525,5.962446873390913,5.96261912147142,6.045164718907403,6.325806251377927,6.617558382439381,6.76083584268977,6.869692710455408,6.883217225596766,6.784389217636981,6.3318687993246,6.01789564221718,6.040847618318021,6.037740992456964,6.043712698392572,6.123869059694344,6.405564976796637,6.698273573797454,6.840544374894209,6.946739475932124,6.956552569247071,6.852931553304156,6.39570331040983,6.078480621053712,6.101616657212084,6.098462462778705,6.104501404862769,6.185487541986042,6.470051981662475,6.765744952172861,6.9094811153559865,7.016765192357173,7.02667712108779,6.921994730995488,6.460128189780675,6.139669076690206,6.162986655579263,6.159740918218979,6.165772908023836,6.247499570554313,6.534838002793101,6.833407975815751,6.978496640772486,7.0867673509040525,7.096796840929871,6.991092027555957,6.524549113481406,6.20083542200417,6.224329795318267,6.220999950571806,6.227042955654203,6.309536628787948,6.599684972677076,6.901176407776954,7.047665839914006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,8.173296395337376,8.603670167930538,8.126093688235752,6.987197967843226,6.837701550289744,6.777427528970937,6.753604791358695,6.785168332744086,6.91003570078645,7.661354477784717,7.928314119145782,8.068750569197837,7.500694288696035,7.471570693606899,7.422369116178989,7.035972036324873,6.62797228299161,6.587142981830346,6.56662872072413,6.655841438643896,6.728133520192112,6.987481675749695,7.3275618623739005,7.463064866264888,7.580770872312337,7.493000196748915,7.451362069868577,6.639989911818672,6.200309772716935,6.211246211914805,6.248565296825164,6.241543183381018,6.306800454524845,6.441230574460648,6.805784967438663,6.931483138224954,7.020560273922235,7.035874906271206,6.9368012612508085,6.451873796077976,6.1242803601783,6.135373088646307,6.119512293236237,6.11145909578896,6.1774911177700895,6.4435054587993505,6.722321575819888,6.850093893714572,6.95224454813634,6.959363106852082,6.857887466488214,6.384265287005297,6.067103062733094,6.086230887879459,6.078463783355544,6.078222806218902,6.150288379289494,6.421191635977321,6.704662025437018,6.835683224049339,6.935378292313474,6.940143481834307,6.835524633779915,6.359466642769097,6.039221969064194,6.052590096847625,6.040059594940114,6.035991949575549,6.103988399365367,6.369493708041155,6.647790027973564,6.775526785744537,6.8754628890349565,6.881489981477322,6.7795823555046155,6.309058365913844,5.993549074687468,6.009592700773684,6.002411063856888,6.0029738765002065,6.084796883340715,6.3630098782924165,6.655549950875591,6.797803579004863,6.910446136662843,6.928039471337282,6.835706602733619,6.369192238332632,6.057701344548979,6.081110116117418,6.079558423310977,6.086042166964647,6.1654729365680305,6.444759574952669,6.738317996304909,6.879569684623411,6.989608030240761,7.003528201719618,6.906437569983179,6.4349507509409944,6.120153526886088,6.143752817476718,6.142166980701996,6.148724389730262,6.228997678266895,6.511197678446474,6.807822069523424,6.950565128868937,7.061759482149938,7.0758238972409,6.977713790886624,6.501329511860089,6.183242154828192,6.207030822363399,6.2053657452783835,6.211919403443568,6.292941480197108,6.577955258341885,6.877532438480917,7.021647480575753,7.133889227022294,7.148114510551889,7.049023062319931,6.56770070381147,6.246303706201573,6.270276277712109,6.268539424062499,6.275107974171946,6.356906476996025,6.644771467406616,6.9473479189811576,7.092885601666441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,8.133133468993599,8.433036731630438,8.102693721601968,7.075380304179636,6.952108923760251,6.882820236987898,6.871207755821948,6.911856729278571,6.9857879037230415,7.737977465514066,8.09597009626283,8.2066016399299,7.6530047740500615,7.606369213187821,7.6298691077226595,7.163504256231852,6.754224756810977,6.7135016493528195,6.693120769015223,6.782860637035824,6.855573673317024,7.133383639046074,7.4749195340817005,7.611061321677597,7.731766600872089,7.644557617309278,7.603648769035223,6.770108980310277,6.329331419728168,6.341044422972546,6.379237466882119,6.372877936532171,6.43908462345131,6.565349875967125,6.932184832098356,7.059007065310748,7.143543694545879,7.159007172675699,7.060068100510888,6.583282285934442,6.254888932485522,6.266548335364814,6.251112251186481,6.2434798878198015,6.3101867729851,6.577672941062121,6.857935286909575,6.986391705707155,7.088986613911529,7.0960173609971555,6.993897089739064,6.508707906994988,6.18917096184664,6.20697160921256,6.198844856430723,6.198266341905491,6.271252032534345,6.542547295516552,6.826463821492211,6.960001475237,7.0610828287164145,7.065975918284588,6.961293510635242,6.474961999626454,6.154489275604971,6.168325950038405,6.156270787900705,6.151699291725548,6.220382842630841,6.485891139418548,6.765306736748689,6.895055707349991,6.996971251898824,7.0044188063789505,6.902306328590645,6.422527571386599,6.106482694841745,6.122533383457567,6.115351511207518,6.115909143236303,6.198471055432591,6.477724455865389,6.77134764219276,6.915620899064986,7.030273908662642,7.049777220444393,6.957882033571397,6.482764726432262,6.171380301146384,6.195437508728478,6.19450859189051,6.201644675915152,6.282907140456994,6.563366854647302,6.85815208464234,7.001520026238765,7.113632348276796,7.129472867171167,7.033952045410393,6.5534986201486305,6.238622922682604,6.2628825020463905,6.261911883041203,6.269115410664651,6.351267056631547,6.634792576541202,6.93280298821754,7.077744044730488,7.191077259032641,7.2070744655754915,7.110483170468794,6.6247598253382876,6.306408813186316,6.330871068082789,6.3298212636883315,6.337026867626022,6.419988128601421,6.706494544918674,7.007633486420253,7.154045503938186,7.268506355177616,7.28469556454928,7.18708689347343,6.696055363453017,6.374209930188696,6.398869913780423,6.39774692877656,6.404970265631449,6.4887649885057295,6.778285721679121,7.0825944182114915,7.2305213540159246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
