,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01
2018-01-16,80.473624,80.403624,80.208708,79.939083,79.584245,79.203624,78.703624,78.275945,77.973624,77.693624,77.453624,77.208569,77.023624,76.763624,76.503624,76.255827,75.98862199999998,75.741812,75.708182,75.69651,75.738057,75.69359200000002,75.57346700000002,75.609262,75.662953,75.575705,75.379243,75.06731500000002,74.78517099999998,74.604381,74.485538,74.411275,74.342026,74.297791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-17,80.691409,80.561409,80.375477,80.12790600000002,79.79265500000002,79.431409,78.961409,78.55373,78.231409,77.961409,77.721409,77.475736,77.291409,77.05140899999998,76.811409,76.582391,76.32640699999997,76.089597,76.05596700000002,76.04429499999998,76.06506800000002,76.00782,75.887695,75.92349,76.001586,75.92349,75.727028,75.4151,75.13295600000002,74.97352,74.86688000000002,74.792617,74.72336800000002,74.679133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-18,80.828523,80.74852299999998,80.572082,80.266059,79.95039399999997,79.60852299999998,79.13852299999998,78.740844,78.408523,78.128523,77.88852299999998,77.653468,77.468523,77.228523,76.988523,76.759505,76.50352099999998,76.266711,76.25496600000002,76.25496600000002,76.317286,76.285605,76.187852,76.234832,76.312928,76.234832,76.03837,75.726442,75.444298,75.284862,75.17822199999998,75.103959,75.03471,74.990475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-19,80.391611,80.321611,80.126187,79.81707,79.463482,79.081611,78.621611,78.233932,77.921611,77.661611,77.441611,77.215938,77.041611,76.801611,76.561611,76.332593,76.07723399999998,75.839799,75.82805400000002,75.850425,75.92393100000002,75.915594,75.850425,75.908591,75.986687,75.930403,75.745687,75.458926,75.20813199999998,75.059292,74.97599699999998,74.911947,74.865577,74.83202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-22,80.575839,80.47583900000002,80.31939799999998,80.062336,79.74771,79.405839,78.935839,78.53815999999998,78.235839,77.945839,77.715839,77.490166,77.325839,77.095839,76.86583900000002,76.648042,76.400837,76.164027,76.152282,76.152282,76.214602,76.206265,76.14109599999998,76.199262,76.27735799999998,76.221074,76.03635799999998,75.72443,75.465246,75.337761,75.26666800000002,75.202618,75.156248,75.122691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-23,81.606107,81.556107,81.336107,81.052604,80.707978,80.336107,79.866107,79.428428,79.09610699999998,78.836107,78.586107,78.341052,78.116107,77.866107,77.636107,77.41830999999998,77.17110500000003,76.93429499999998,76.900665,76.888993,76.93054000000002,76.909419,76.84425,76.902416,76.980512,76.94604,76.77306899999998,76.461141,76.201957,76.074472,75.980035,75.905771,75.836522,75.769408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-24,82.47859100000002,82.458591,82.11859100000002,81.721972,81.318586,80.878591,80.378591,79.91184100000002,79.488591,79.128591,78.848591,78.593536,78.328591,78.068591,77.818591,77.582014,77.312963,77.024967,76.97959200000003,76.96791999999998,77.009467,76.98834599999998,76.923177,77.00147700000002,77.117401,77.070269,76.885553,76.573625,76.314441,76.18695600000002,76.092519,76.01825500000002,75.94900600000003,75.85901199999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-25,82.646376,82.646376,82.226376,81.82768,81.435746,81.016376,80.496376,79.999626,79.546376,79.226376,78.956376,78.671939,78.366376,78.096376,77.836376,77.599799,77.330123,77.04275200000002,77.019262,77.04163299999998,77.09436600000002,77.073245,77.03044799999998,77.11993299999997,77.21145200000002,77.155168,76.99180600000003,76.717248,76.443494,76.305412,76.210975,76.136712,76.04458199999998,75.921031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-26,83.116174,83.126174,82.636174,82.165401,81.684919,81.206174,80.666174,80.159888,79.696174,79.356174,79.076174,78.78173699999998,78.476174,78.196174,77.926174,77.679597,77.409921,77.12255,77.09906,77.09906,77.14060699999997,77.119486,77.054317,77.13261700000002,77.224136,77.167852,76.961781,76.662818,76.38906300000002,76.250982,76.156545,76.08228100000002,75.967272,75.833044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-29,82.654362,82.374362,81.844362,81.395666,80.923732,80.444362,79.904362,79.387612,78.914362,78.564362,78.284362,78.009925,77.674362,77.394362,77.114362,76.86656500000002,76.598734,76.310738,76.28724799999998,76.309619,76.383125,76.39813199999998,76.365548,76.455033,76.546552,76.490268,76.305552,76.018792,75.745037,75.606955,75.512518,75.438255,75.323246,75.211897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
